input_kb,routes_dispatched,routes_timed_out,slowest_completed_seconds
0.1,3,0,0
0,1,0,0
3.1,3,0,0
0,1,0,0
2.2,3,0,0
7.4,3,0,0
0,1,0,0
4.4,3,0,0
9.4,3,0,0
6.1,3,0,0
21.6,3,0,0
13.9,3,0,0
0.1,3,0,0
0.1,3,0,0
0.1,4,0,0
16.6,3,1,0
0.1,4,0,0
0.1,1,0,0
0.1,4,0,0
0.1,4,0,22.5
0.1,4,0,27
0.1,4,0,29.8
14,4,1,102.7
14,4,2,56.9
19,4,2,65.9
19,4,0,241.1
19.9,4,2,51.9
0,0,0,0
0.1,4,0,24.1
7,4,1,33.4
6.9,4,1,52
20.7,4,0,253.9
16.5,4,0,181.8
5.1,4,0,67.5
9.1,4,0,49.1
6.7,4,0,135.6
6.7,4,0,62.1
69,4,2,74.9
0,1,0,11.4
69.1,4,1,317.6
71.2,4,0,265.8
10.6,4,0,352.4
11.8,4,0,313.1
14.4,4,0,157.7
16.5,4,1,271.4
16.9,4,1,205.2
18.1,4,0,216.4
19,4,1,285.9
0,0,0,0
0.8,4,0,17
5,4,0,112.2
0,0,0,0
6.2,4,0,113.4
7.2,4,2,115.9
7.9,4,2,72.4
3.4,4,0,30.7
12.8,4,0,78.7
108.1,4,0,226.3
7.8,4,0,107.8
8.5,4,1,83.1
0.1,1,0,10.9
0.1,1,0,13.1
0.1,1,0,12
0.1,1,0,15
0.1,4,0,31.9
0,1,0,13.1
0,1,0,0
0,1,0,7.7
0,1,0,0
16,4,1,110.9
18.9,4,0,161
19,4,2,19
19,4,0,179.9
7.8,4,0,133.4
9.7,4,0,139.3
10.9,4,0,273.3
12,4,0,128.3
12.3,4,0,328
13,4,0,241.1
13.8,4,0,136.9
51,4,1,427.4
52.3,4,0,215.7
64.7,4,0,237.8
35.6,4,0,205.4
35.6,4,0,401.1
43.9,4,0,282.8
29,4,0,341.2
0.1,1,0,8.2
0.1,1,0,10.6
0.1,1,0,10.9
0.1,1,0,14.3
0.1,1,0,7.7
0.1,1,0,16.2
0.1,1,0,11.2
0.1,1,0,14.5
0.1,1,0,8.7
0.1,1,0,12.7
0.1,1,0,10.7
0.1,1,0,8.5
0.1,1,0,6.8
0.1,1,0,11.7
0.1,1,0,11.6
0.1,1,0,17.8
50.5,4,0,279.3
121.5,4,0,291.6
0.1,1,0,13.2
0.1,1,0,0
0.1,1,0,13.3
0.1,1,0,12.7
0.1,1,0,13.4
0.1,1,0,0
0.2,5,0,14.8
76.3,4,1,57.3
6.6,4,2,21.7
6.6,2,0,238.8
9.2,4,0,303.2
122.4,4,0,196.3
148.8,4,2,78.5
88.7,4,1,198.4
16.8,4,0,145.8
19.3,3,0,202.5
20.4,2,0,39.8
88.3,4,1,176.3
92.7,4,1,291.1
49.9,4,2,277.6
54.1,4,2,224.1
55.6,4,2,229.3
56.4,4,2,208.8
57.7,4,1,128.4
50,4,2,176.3
50.6,4,3,196.5
51,4,0,423.8
54,4,0,387.4
56.1,4,0,630.8
58.4,4,0,750
60.2,4,0,523.5
2.4,4,0,144.5
2.4,4,0,377.3
2.4,4,0,148.5
