run_id,timestamp,governor,input_bytes,findings,corroborated,reviewer_status,subject
rev_20260817042827_pmxf,2026-08-17T04:28:27.692Z,codex,285,8,0,claude:success antigravity:success,
rev_20260817152233_0ten,2026-08-17T15:22:33.202Z,claude,285,4,0,codex:success claude:self_excluded antigravity:success,
rev_20260817154000_lesk,2026-08-17T15:40:00.636Z,claude,103953,1,0,codex:success claude:self_excluded antigravity:success,
rev_20260817163031_pi25,2026-08-17T16:30:31.841Z,claude,371,0,0,codex:success claude:self_excluded antigravity:success copilot:success,
rev_20260817163200_7a8a,2026-08-17T16:32:00.790Z,claude,9877,0,0,codex:success claude:self_excluded antigravity:success copilot:success,
rev_20260817163316_dd6i,2026-08-17T16:33:16.242Z,claude,371,0,0,copilot:success,
rev_20260817171648_97nx,2026-08-17T17:16:48.874Z,claude,16990,0,0,gemini:error,
rev_20260817171838_8q9i,2026-08-17T17:18:38.279Z,claude,17762,7,0,codex:success claude:self_excluded antigravity:success copilot:authentication_required,
rev_20260817172052_hcjo,2026-08-17T17:20:52.929Z,claude,17762,7,0,copilot:success,
rev_20260817172600_2k4q,2026-08-17T17:26:00.774Z,claude,26211,3,0,codex:success claude:self_excluded antigravity:success copilot:authentication_required,
rev_20260817172720_8hgs,2026-08-17T17:27:20.457Z,claude,371,0,0,copilot:authentication_required,
rev_20260817172816_64l9,2026-08-17T17:28:16.307Z,claude,371,0,0,copilot:provider_unavailable,
rev_20260817172902_t3st,2026-08-17T17:29:02.195Z,claude,7371,2,0,codex:success claude:self_excluded antigravity:success copilot:provider_unavailable,
rev_20260817193100_ovng,2026-08-17T19:31:00.489Z,claude,285,8,0,codex:success claude:self_excluded antigravity:success copilot:success,
rev_20260817193845_imso,2026-08-17T19:38:45.047Z,claude,76,0,0,codex:success claude:self_excluded antigravity:success copilot:success,
rev_20260817200511_4g47,2026-08-17T20:05:11.720Z,claude,11,0,0,gemini:error,
rev_20260817200608_0d0l,2026-08-17T20:06:08.284Z,claude,3210,2,0,codex:success claude:self_excluded antigravity:success copilot:success,
rev_20260817200703_ibf9,2026-08-17T20:07:03.584Z,claude,7,0,0,gemini:error,
rev_20260817225857_fxre,2026-08-17T22:58:57.814Z,codex,2263,4,0,codex:self_excluded claude:success antigravity:success copilot:authentication_required,
rev_20260817231004_2r2g,2026-08-17T23:10:04.823Z,claude,7564,4,0,codex:success claude:self_excluded antigravity:success copilot:success,
rev_20260817231651_d2xg,2026-08-17T23:16:51.347Z,claude,6,0,0,gemini:ineligible_tier,
rev_20260817231735_89dm,2026-08-17T23:17:35.420Z,claude,4530,1,0,codex:success claude:self_excluded antigravity:success copilot:success,
rev_20260817232122_8jvh,2026-08-17T23:21:22.873Z,codex,9618,4,0,codex:self_excluded claude:success antigravity:success copilot:authentication_required,
rev_20260817232450_6ve7,2026-08-17T23:24:50.875Z,codex,6284,4,0,codex:self_excluded claude:success antigravity:success copilot:authentication_required,
